Date of Valuation,Base date,date(m),Year,Road_width,LocationAccess,Location_Access,Commercialprice,Commercial-price,Latitude,Longitude,Governmentrate,Commercial-rate,Area,Earthen,Pitch,Goreto,Gravelled,paved,Commercial,Residential,Rectangular,Trapezoidal,Irregular,Facilities,Commercial-rate,Government-rate,Location as per cadastralmap,,,Places
16-Mar,01/01/2012,50,4.166666667,8.202099738,170,1.7,19250000,192.5,27.689326,85.32481,8,35,5.5,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",3500000,800000,"1430 & 1433, Lalitpur-2 Cha, Lalitpur",,,Lalitpur
16-Mar,01/01/2012,50,4.166666667,8.202099738,170,1.7,12250000,122.5,27.731133,85.321821,8,35,3.5,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",3500000,800000,"1432 & 1435, Lalitpur-2 Cha, Lalitpur",,,Lalitpur
17-Mar,01/01/2012,62,5.166666667,5.905511811,50,0.5,23835000,238.35,27.660213,85.32178,7,35,6.81,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",3500000,700000,"22, 51, 1497 & 1496, Lalitpur-6, Lalitpur",,,Lalitpur
14-Dec,01/01/2012,35,2.916666667,9.514435696,100,1,1710000,17.1,27.717245,85.306486,3.75,15,1.14,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1500000,375000,"17, Kritipur - 2, Kathmandu",,,Kathmandu
24-May-15,01/01/2012,40,3.333333333,5,105,1.05,1938750,19.3875,27.685093,85.273798,2.5,7.05,2.75,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",705000,250000,"757,Satungal-9, Kathmandu",,,Kathmandu
30-Sep-13,01/01/2012,20,1.666666667,2,105,1.05,22968750,229.6875,27.665277,85.32178,12,25,9.1875,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",2500000,1200000,"18, Kathmandu-4, Kathmandu",,,Kathmandu
25-May-14,01/01/2012,28,2.333333333,2,105,1.05,7000000,70,27.750099,85.32178,12,20,3.5,0,0,1,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",2000000,1200000,"234,Kathmandu-4, Kathmandu",,,Kathmandu
11-Jun-14,01/01/2012,29,2.416666667,7.874015748,105,1.05,9792000,97.92,27.669327,85.324821,12,18,5.44,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1800000,1200000,"1936,Kathmandu-19, Kathmandu",,,Kathmandu
23-Sep-13,01/01/2012,20,1.666666667,2,105,1.05,9750000,97.5,27.726989,85.311577,10,30,3.25,0,0,1,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",3000000,1000000,"932,Thamel, Kathmandu-29",,,Kathmandu
14-Jul,01/01/2012,30,2.5,3,100,1,64050000,640.5,27.709217,85.343027,8.6,50,12.81,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",5000000,860000,"409,433&435,Kathmandu-15, Kathmandu",,,Kathmandu
06-Oct-13,01/01/2012,21,1.75,7.217847769,105,1.05,600000000,6000,27.750099,85.323961,8,40,150,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",4000000,800000,"14, 12, 9, 7, 41, 25, dhapasi-4, Kathmandu ",,,Kathmandu
23-Sep-13,01/01/2012,20,1.666666667,1.312335958,105,1.05,28000000,280,FAILED,85.314389,7,35,8,0,0,1,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",3500000,700000,"278,Gongabu-6, Kathmandu",,,Kathmandu
20-May-14,01/01/2012,28,2.333333333,4.921259843,105,1.05,8000000,80,27.669327,85.32178,7,20,4,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",2000000,700000,"719,Kathmandu-10, Kathmandu",,,Kathmandu
06-Oct-14,01/01/2012,33,2.75,2,105,1.05,576600000,5766,27.750099,85.409357,7,31,186,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",3100000,700000,"27, 659, 497, 496, dhapasi-4, Kathmandu ",,,Kathmandu
14-Jun,01/01/2012,29,2.416666667,1.968503937,150,1.5,3000000,30,27.750099,85.324821,6,8,3.75,0,0,1,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",800000,600000,"501,Kathmandu-16, Kathmandu",,,Kathmandu
16-Sep-14,01/01/2012,32,2.666666667,3.280839895,50,0.5,32250000,322.5,27.698744,85.314389,4.625,15,21.5,0,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1500000,462500,"453,KMC Kathmandu-29",,,Kathmandu
14-Jun,01/01/2012,29,2.416666667,3.280839895,650,6.5,11250000,112.5,27.750099,85.324821,4.1875,15,7.5,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1500000,418750,"253,Lalitpur-4, Lalitpur",,,Lalitpur
15-Jun,01/01/2012,41,3.416666667,3.280839895,651,6.51,1125000,11.25,27.750099,85.338769,4.1875,15,0.75,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1500000,418750,"250,Lalitpur-4, Lalitpur",,,Lalitpur
16-Sep-14,01/01/2012,32,2.666666667,3.280839895,50,0.5,207000000,2070,FAILED,85.312168,3,23,90,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",2300000,300000,"453,463,MC Kathmandu-29",,,Kathmandu
16-Sep-14,01/01/2012,32,2.666666667,3.280839895,50,0.5,48750000,487.5,27.698744,85.345415,3,15,32.5,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1500000,300000,"462,896,447,723,724&1014,KMC Kathmandu-29",,,Kathmandu
16-Nov-13,01/01/2012,22,1.833333333,2.952755906,105,1.05,3200000,32,27.750099,85.409357,1,4,8,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",400000,100000,"469,Nayapati-2, Kathmandu",,,Kathmandu
16-Nov-13,01/01/2012,22,1.833333333,2.952755906,105,1.05,2400000,24,27.750099,85.32178,0.78,3,8,0,0,1,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",300000,78000,"469,Nayapati-2, Kathmandu",,,Kathmandu
01-Nov-13,01/01/2012,22,1.833333333,10.49868766,105,1.05,7000000,70,27.709217,85.336893,0.52,7,10,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",700000,52000,"144&145,Kathmandu-6, Kathmandu",,,Kathmandu
05/07/2013,01/01/2012,16,1.333333333,1.312335958,50,0.5,1232625,12.32625,27.708777,85.314312,2.75,6,2.054375,0,0,1,0,0,0,1,,,," TEWS 
    ",600000,275000," 102-1028-04, Kathmandu-6 Ta 1",,,Kathmandu
15-Oct,01/01/2012,45,3.75,11.81102362,125,1.25,397600000,3976,27.66047,85.309857,30,80,49.7,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",8000000,3000000,"3479,Kathmandu-31,  Kathmandu",,,Kathmandu
09/10/2015,01/01/2012,44,3.666666667,6.456692913,1000,10,394453125,3944.53125,27.851234,85.147246,1.44375,28.125,140.25,1,0,0,0,0,0,0,0,0,1,0,28125,144375, 102-0531Belkot-1Nuwakot,,,Nuwakot
15-Oct,01/01/2012,45,3.75,11.81102362,125,1.25,300000000,3000,27.653385,85.32178,30,100,30,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",10000000,3000000,"3479,Kathmandu-31,  Kathmandu",,,Kathmandu
15-Apr,01/01/2012,39,3.25,20.34120735,105,1.05,205500000,2055,27.709217,85.32178,28,60,34.25,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",6000000,2800000,"404,Kathmandu-11, Kathmandu",,,Kathmandu
12/16/2013,01/01/2012,23,1.916666667,23.67454068,70,0.7,170500000,1705,27.698744,85.312168,22,100,17.05,0,1,0,0,0,1,0,0,0,1,1,10000000,2200000, 102-1107-01KMC-9Kathmandu,,,Kathmandu
12/16/2013,01/01/2012,23,1.916666667,23.67454068,70,0.7,170500000,1705,27.698744,85.312168,22,99.99633445,17.050625,0,1,0,0,0,1,0,,,," TEWS 
    ",10000000,2200000," 102-1107-01, KMC-9, Kathmandu",,,Kathmandu
16-Feb,01/01/2012,49,4.083333333,17.21784777,105,1.05,138720000,1387.2,27.674078,85.324445,14,40,34.68,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",4000000,1400000,"291,Paanipokhari Kathmandu-3, Kathmandu",,,Kathmandu
12/16/2013,01/01/2012,23,1.916666667,23.67454068,500,5,122300000,1223,27.698744,85.312168,26,99.95913363,12.235,0,1,0,0,0,1,0,,,," TEWS 
    ",10000000,2600000," 102-1067-17, KMC-8, Kathmandu",,,Kathmandu
15-Apr,01/01/2012,39,3.25,20.34120735,105,1.05,120000000,1200,27.709217,85.352346,28,40,30,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",4000000,2800000,"404,Kathmandu-11, Kathmandu",,,Kathmandu
15-Aug,01/01/2012,43,3.583333333,20.34120735,105,1.05,98000000,980,27.640838,FAILED,32,80,12.25,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",8000000,3200000,"386&392,Kathmandu-9, Kathmandu",,,Kathmandu
07-Nov-14,01/01/2012,34,2.833333333,25,25,0.25,80625000,806.25,27.750099,85.32178,40,125,6.45,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",12500000,4000000,"855, 856 & 857, Kathmandu-32, Kathmandu",,,Kathmandu
15-Jul,01/01/2012,42,3.5,3.280839895,105,1.05,80250000,802.5,27.703343,85.345415,5,8,100.3125,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",800000,500000,"18,Khadka Bhadrakali - 1 , Kathmandu",,,Kathmandu
16-Feb,01/01/2012,49,4.083333333,17.21784777,105,1.05,79900000,799,27.745761,85.360929,14,40,19.975,0,1,0,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",4000000,1400000,"259,Paanipokhari Kathmandu-3, Kathmandu",,,Kathmandu
16-Jan,01/01/2012,48,4,3.937007874,200,2,66843750,668.4375,27.709217,85.32178,24,155,4.3125,0,0,1,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",15500000,2400000,"1624, 1642, 1640, 1934, 1625, 1933, 1535 & 1641,Kathmandu-22, Kathmandu",,,Kathmandu
15-Jul,01/01/2012,42,3.5,3.280839895,400,4,59350000,593.5,27.721268,FAILED,11,20,29.675,0,0,1,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",2000000,1100000,"213, Sunargaunmarg, Kathmandu-14, Kathmandu",,,Kathmandu
