Year,Road_width,Location_Access,Governmentrate,Inflation_rate,Commercial-rate,Area,Earthen,Pitch,Goreto,Gravelled,paved,Commercial,Residential,Kathmandu,Lalitpur,Places
4.166666667,8.202099738,1.7,8,0.067,35,5.5,0,1,0,0,0,1,0,0,1,Lalitpur
4.166666667,8.202099738,1.7,8,0.067,35,3.5,0,1,0,0,0,1,0,0,1,Lalitpur
5.166666667,5.905511811,0.5,7,0.067,35,6.81,0,1,0,0,0,1,0,0,1,Lalitpur
2.916666667,9.514435696,1,3.75,0.067,15,1.14,0,1,0,0,0,1,0,1,0,Kathmandu
3.333333333,5,1.05,2.5,0.0721,7.05,2.75,0,1,0,0,0,1,0,1,0,Kathmandu
1.666666667,2,1.05,12,0.0987,25,9.1875,0,1,0,0,0,1,0,1,0,Kathmandu
2.333333333,2,1.05,12,0.0904,20,3.5,0,0,1,0,0,1,0,1,0,Kathmandu
2.416666667,7.874015748,1.05,12,0.0904,18,5.44,0,1,0,0,0,1,0,1,0,Kathmandu
1.666666667,2,1.05,10,0.0987,30,3.25,0,0,1,0,0,1,0,1,0,Kathmandu
2.5,3,1,8.6,0.067,50,12.81,0,1,0,0,0,1,0,1,0,Kathmandu
1.75,7.217847769,1.05,8,0.0987,40,150,0,1,0,0,0,1,0,1,0,Kathmandu
1.666666667,1.312335958,1.05,7,0.0987,35,8,0,0,1,0,0,1,0,1,0,Kathmandu
2.333333333,4.921259843,1.05,7,0.0904,20,4,0,1,0,0,0,1,0,1,0,Kathmandu
2.75,2,1.05,7,0.0904,31,186,0,1,0,0,0,1,0,1,0,Kathmandu
2.416666667,1.968503937,1.5,6,0.067,8,3.75,0,0,1,0,0,1,0,1,0,Kathmandu
2.666666667,3.280839895,0.5,4.625,0.0904,15,21.5,0,0,0,0,0,1,0,1,0,Kathmandu
2.416666667,3.280839895,6.5,4.1875,0.067,15,7.5,0,1,0,0,0,1,0,0,1,Lalitpur
3.416666667,3.280839895,6.51,4.1875,0.067,15,0.75,0,1,0,0,0,1,0,0,1,Lalitpur
2.666666667,3.280839895,0.5,3,0.0904,23,90,1,0,0,0,0,1,0,1,0,Kathmandu
2.666666667,3.280839895,0.5,3,0.0904,15,32.5,1,0,0,0,0,1,0,1,0,Kathmandu
1.833333333,2.952755906,1.05,1,0.0987,4,8,0,1,0,0,0,1,0,1,0,Kathmandu
1.833333333,2.952755906,1.05,0.78,0.0987,3,8,0,0,1,0,0,1,0,1,0,Kathmandu
1.833333333,10.49868766,1.05,0.52,0.0987,7,10,0,1,0,0,0,1,0,1,0,Kathmandu
1.333333333,1.312335958,0.5,2.75,0.0987,6,2.054375,0,0,1,0,0,0,1,1,0,Kathmandu
3.75,11.81102362,1.25,30,0.067,80,49.7,0,1,0,0,0,1,0,1,0,Kathmandu
3.75,11.81102362,1.25,30,0.067,100,30,0,1,0,0,0,1,0,1,0,Kathmandu
3.25,20.34120735,1.05,28,0.067,60,34.25,0,1,0,0,0,1,0,1,0,Kathmandu
1.916666667,23.67454068,0.7,22,0.0987,100,17.05,0,1,0,0,0,1,0,1,0,Kathmandu
1.916666667,23.67454068,0.7,22,0.0987,99.99633445,17.050625,0,1,0,0,0,1,0,1,0,Kathmandu
4.083333333,17.21784777,1.05,14,0.067,40,34.68,0,1,0,0,0,1,0,1,0,Kathmandu
1.916666667,23.67454068,5,26,0.0987,99.95913363,12.235,0,1,0,0,0,1,0,1,0,Kathmandu
3.25,20.34120735,1.05,28,0.067,40,30,0,1,0,0,0,1,0,1,0,Kathmandu
3.583333333,20.34120735,1.05,32,0.067,80,12.25,0,1,0,0,0,1,0,1,0,Kathmandu
2.833333333,25,0.25,40,0.0904,125,6.45,1,0,0,0,0,1,0,1,0,Kathmandu
3.5,3.280839895,1.05,5,0.067,8,100.3125,1,0,0,0,0,1,0,1,0,Kathmandu
4.083333333,17.21784777,1.05,14,0.067,40,19.975,0,1,0,0,0,0,1,1,0,Kathmandu
4,3.937007874,2,24,0.067,155,4.3125,0,0,1,0,0,0,1,1,0,Kathmandu
3.5,3.280839895,4,11,0.067,20,29.675,0,0,1,0,0,1,0,1,0,Kathmandu
3.583333333,20.34120735,1.05,25,0.067,45,13.125,0,1,0,0,0,1,0,1,0,Kathmandu
3.5,3.280839895,1.05,5,0.067,8,70.0625,1,0,0,0,0,1,0,1,0,Kathmandu
2.916666667,3.937007874,1,1.5,0.067,10,54,1,0,0,0,0,1,0,1,0,Kathmandu
3.5,3.280839895,1.05,5,0.067,8,64,1,0,0,0,0,1,0,1,0,Kathmandu
1.916666667,3.937007874,0.7,10,0.0987,45,11.34,0,0,0,1,0,1,0,1,0,Kathmandu
1.916666667,3.937007874,0.7,10,0.0987,45.01488588,11.33625,0,0,0,1,0,1,0,1,0,Kathmandu
4.333333333,13.12335958,1.05,26,0.067,40,12.6875,0,1,0,0,0,1,0,1,0,Kathmandu
4.166666667,19.68503937,2,11,0.067,15,33.75,0,1,0,0,0,1,0,0,0,Bhaktapur
3.5,3.280839895,1.05,5,0.067,8,62.975,1,0,0,0,0,1,0,1,0,Kathmandu
3.5,3.280839895,1.05,5,0.067,8,62.8125,1,0,0,0,0,1,0,1,0,Kathmandu
